epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.9172,1.19987,0.86334,0.99633,0.40501,0.000301152,0.000301152,0.000301152
2,141.95,0.43037,0.90244,0.9998,0.26962,0.00059219,0.00059219,0.00059219
3,208.635,0.33675,0.93238,1,0.18818,0.000871229,0.000871229,0.000871229
4,275.089,0.3124,0.9442,1,0.15386,0.000855005,0.000855005,0.000855005
5,342.072,0.24193,0.96314,1,0.1041,0.000837007,0.000837007,0.000837007
6,408.326,0.20338,0.97352,1,0.08173,0.000819009,0.000819009,0.000819009
7,479.549,0.18401,0.98086,1,0.06194,0.000801011,0.000801011,0.000801011
8,548.47,0.17208,0.97393,1,0.08211,0.000783013,0.000783013,0.000783013
9,615.705,0.15495,0.97862,1,0.0603,0.000765014,0.000765014,0.000765014
10,681.979,0.14585,0.98411,1,0.04545,0.000747016,0.000747016,0.000747016
11,749.801,0.12913,0.98126,1,0.05085,0.000729018,0.000729018,0.000729018
12,815.526,0.11098,0.98513,1,0.04008,0.00071102,0.00071102,0.00071102
13,881.821,0.11157,0.98248,1,0.05103,0.000693022,0.000693022,0.000693022
14,948.359,0.11463,0.98758,1,0.03837,0.000675023,0.000675023,0.000675023
15,1015.85,0.10311,0.97862,1,0.05492,0.000657025,0.000657025,0.000657025
16,1083.13,0.10325,0.98798,1,0.03606,0.000639027,0.000639027,0.000639027
17,1150.85,0.09465,0.98676,0.9998,0.03714,0.000621029,0.000621029,0.000621029
18,1217.41,0.08675,0.99063,1,0.02855,0.000603031,0.000603031,0.000603031
19,1284.72,0.07421,0.9888,1,0.03456,0.000585032,0.000585032,0.000585032
20,1351.9,0.0695,0.989,1,0.03175,0.000567034,0.000567034,0.000567034
21,1418.74,0.06327,0.99043,1,0.02773,0.000549036,0.000549036,0.000549036
22,1485.7,0.0697,0.99063,1,0.02905,0.000531038,0.000531038,0.000531038
23,1552.26,0.07966,0.99145,1,0.02672,0.00051304,0.00051304,0.00051304
24,1620.49,0.06758,0.99287,1,0.02485,0.000495041,0.000495041,0.000495041
25,1688.45,0.06846,0.98982,1,0.02797,0.000477043,0.000477043,0.000477043
26,1755.57,0.06504,0.99124,1,0.02515,0.000459045,0.000459045,0.000459045
27,1821.89,0.05734,0.99328,1,0.02331,0.000441047,0.000441047,0.000441047
28,1888.29,0.05943,0.99206,1,0.0266,0.000423049,0.000423049,0.000423049
29,1955.84,0.05308,0.99246,1,0.02355,0.00040505,0.00040505,0.00040505
30,2024.33,0.05322,0.99246,1,0.02385,0.000387052,0.000387052,0.000387052
31,2092.64,0.05256,0.99267,1,0.02071,0.000369054,0.000369054,0.000369054
32,2160.62,0.05155,0.99389,1,0.02092,0.000351056,0.000351056,0.000351056
33,2227.65,0.0514,0.99348,1,0.01898,0.000333058,0.000333058,0.000333058
34,2294.59,0.04628,0.99246,1,0.02113,0.000315059,0.000315059,0.000315059
35,2362.27,0.0421,0.99308,1,0.02165,0.000297061,0.000297061,0.000297061
36,2428.39,0.04153,0.99348,1,0.0183,0.000279063,0.000279063,0.000279063
37,2496.42,0.04656,0.99389,1,0.01957,0.000261065,0.000261065,0.000261065
38,2562.48,0.0388,0.99389,1,0.0181,0.000243067,0.000243067,0.000243067
39,2629.56,0.03295,0.9943,1,0.01754,0.000225068,0.000225068,0.000225068
40,2695.93,0.04416,0.99409,1,0.01778,0.00020707,0.00020707,0.00020707
41,2762.89,0.03459,0.99409,1,0.01721,0.000189072,0.000189072,0.000189072
42,2829.73,0.03878,0.99532,1,0.0175,0.000171074,0.000171074,0.000171074
43,2897.12,0.03232,0.99593,1,0.017,0.000153076,0.000153076,0.000153076
44,2965.33,0.0365,0.99572,1,0.01651,0.000135077,0.000135077,0.000135077
45,3034.11,0.02963,0.99572,1,0.01625,0.000117079,0.000117079,0.000117079
46,3101.28,0.03686,0.9947,1,0.01816,9.9081e-05,9.9081e-05,9.9081e-05
47,3168.99,0.02465,0.99593,1,0.01689,8.10828e-05,8.10828e-05,8.10828e-05
48,3237.39,0.02934,0.99572,1,0.01698,6.30846e-05,6.30846e-05,6.30846e-05
49,3305.86,0.02797,0.99593,1,0.01669,4.50864e-05,4.50864e-05,4.50864e-05
50,3374.22,0.0289,0.99593,1,0.01706,2.70882e-05,2.70882e-05,2.70882e-05
