epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,101.079,1.31638,0.79389,0.99124,0.66905,0.00987805,0.00329268,0.00987805,0.00329268,0.00987805,0.00329268,0.00987805,0.00329268
2,201.582,0.56215,0.88534,0.99857,0.33501,0.0197797,0.00659322,0.0197797,0.00659322,0.0197797,0.00659322,0.0197797,0.00659322
3,303.677,0.35152,0.93747,1,0.18024,0.0295823,0.00986075,0.0295823,0.00986075,0.0295823,0.00986075,0.0295823,0.00986075
4,407.12,0.25463,0.9442,1,0.15679,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,539.612,0.18841,0.96334,1,0.098,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,663.374,0.14983,0.97637,1,0.07237,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,766.891,0.1267,0.98065,1,0.07038,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,867.138,0.11414,0.98411,1,0.0543,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,967.051,0.10868,0.96843,0.9998,0.09171,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1068.07,0.10459,0.98452,1,0.0534,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1168.94,0.08858,0.98656,1,0.03988,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1270.09,0.07693,0.98065,1,0.05659,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1372.54,0.0748,0.98513,1,0.03864,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1474.99,0.075,0.98819,1,0.0345,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1575.73,0.0699,0.98656,1,0.04083,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1677.51,0.07106,0.99022,1,0.03449,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1778.85,0.064,0.99246,1,0.0303,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1878.93,0.05704,0.98982,1,0.03111,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1978.38,0.0461,0.99084,1,0.02747,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,2078.87,0.05848,0.99043,1,0.03195,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,2179.43,0.05508,0.99267,1,0.02936,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,2281.79,0.0479,0.99246,1,0.03391,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,2383.5,0.05319,0.98798,1,0.04491,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2484.37,0.05724,0.99267,1,0.02464,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2585.21,0.04517,0.99267,1,0.02742,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,2685.72,0.05224,0.99124,1,0.02913,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,2789.05,0.0475,0.99206,1,0.02806,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,2892.62,0.03876,0.99308,0.9998,0.03044,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,2995.55,0.04927,0.99287,1,0.03281,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,3099.71,0.04765,0.99246,1,0.02977,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,3201.08,0.04089,0.99267,1,0.02271,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3304.44,0.04004,0.99267,0.9998,0.03024,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3409.17,0.04274,0.99185,1,0.0292,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3515.05,0.03845,0.9945,1,0.02793,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3618.95,0.04174,0.9947,1,0.02529,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,3724.03,0.03536,0.99572,1,0.01929,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,3826.9,0.03426,0.99369,1,0.02256,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
