epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,73.0158,1.43609,0.74033,0.98452,0.82176,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381
2,118.096,0.65262,0.85336,0.99735,0.4427,0.0197233,0.00657444,0.0197233,0.00657444,0.0197233,0.00657444,0.0197233,0.00657444
3,166.751,0.41863,0.9277,0.99939,0.21038,0.0295262,0.00984207,0.0295262,0.00984207,0.0295262,0.00984207,0.0295262,0.00984207
4,209.962,0.32457,0.91059,0.9998,0.22567,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,253.94,0.2762,0.95967,1,0.10704,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,299.367,0.18161,0.97312,1,0.0782,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,345.215,0.14078,0.97169,1,0.08472,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,396.651,0.14794,0.96843,1,0.09461,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,444.215,0.15886,0.97739,1,0.06666,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,492.067,0.15759,0.98269,1,0.05848,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,545.172,0.12911,0.98167,1,0.05156,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,595.358,0.10005,0.98086,1,0.05831,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,641.77,0.11387,0.98554,1,0.04739,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,689.982,0.08975,0.98839,1,0.03504,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,735.385,0.09894,0.98432,1,0.051,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,777.056,0.10442,0.98697,1,0.03963,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,817.853,0.11593,0.99084,1,0.0367,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,863.353,0.08634,0.98982,1,0.03418,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,906.467,0.1054,0.99063,1,0.03266,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,958.555,0.13124,0.99043,1,0.03094,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1007.61,0.09108,0.98941,1,0.0368,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1059.46,0.07446,0.99002,0.99959,0.0357,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1114.8,0.13038,0.99084,1,0.02909,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1166.6,0.10573,0.9833,1,0.05147,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1213.33,0.0643,0.98941,1,0.03449,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1266,0.07225,0.99022,1,0.03125,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1311.35,0.06385,0.99124,1,0.03283,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1359.94,0.06041,0.99002,0.9998,0.04575,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1403.31,0.18334,0.99084,1,0.03036,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1445.65,0.06403,0.99246,1,0.03082,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1491.37,0.07768,0.99308,1,0.03003,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1529.42,0.05851,0.99206,1,0.02956,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
