epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.129,1.32662,0.79633,0.99348,0.65298,0.00987805,0.00329268,0.00987805,0.00329268,0.00987805,0.00329268,0.00987805,0.00329268
2,31.0834,0.5526,0.90163,0.99796,0.30437,0.0197797,0.00659322,0.0197797,0.00659322,0.0197797,0.00659322,0.0197797,0.00659322
3,45.5512,0.35434,0.94073,0.99939,0.17186,0.0295823,0.00986075,0.0295823,0.00986075,0.0295823,0.00986075,0.0295823,0.00986075
4,60.3177,0.26721,0.93666,1,0.16727,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,75.0527,0.20526,0.96904,1,0.08744,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,89.7658,0.16428,0.96517,1,0.09402,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,104.376,0.16384,0.97597,1,0.06812,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,119.228,0.14379,0.97352,0.9998,0.07994,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,133.942,0.12568,0.97556,1,0.06721,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,149.115,0.11612,0.97923,1,0.06064,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,163.742,0.10036,0.98391,1,0.04763,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,178.665,0.1011,0.98595,1,0.04067,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,193.068,0.09347,0.98656,1,0.04246,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,208.023,0.09727,0.98248,1,0.05714,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,222.737,0.09646,0.9888,1,0.0307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,237.44,0.08121,0.98126,1,0.05358,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,252.034,0.0807,0.98839,1,0.04052,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,267.259,0.07554,0.99002,1,0.03358,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,282.701,0.06755,0.98595,1,0.04201,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,297.085,0.07796,0.9888,1,0.04036,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,312.392,0.07243,0.98635,1,0.04177,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,326.954,0.07208,0.99185,0.9998,0.03257,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,341.824,0.06328,0.98859,1,0.0299,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,356.652,0.05931,0.99104,1,0.03041,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,371.471,0.06619,0.98798,1,0.0314,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,386.409,0.06575,0.99185,1,0.03175,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,401.148,0.06412,0.99124,1,0.02465,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,415.923,0.05811,0.99348,1,0.02415,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,431.154,0.05821,0.99206,1,0.02397,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,445.798,0.06467,0.99022,1,0.03207,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,460.663,0.06726,0.98717,1,0.03588,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,475.681,0.05824,0.99246,1,0.02316,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,490.37,0.05552,0.98819,1,0.03154,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,505.495,0.04962,0.99246,1,0.02967,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,520.373,0.05381,0.99145,1,0.03139,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,535.434,0.05054,0.9947,1,0.02199,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,550.406,0.05318,0.99206,1,0.02797,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,564.889,0.05037,0.99308,1,0.03104,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,579.92,0.04241,0.99185,0.9998,0.02927,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,594.8,0.0405,0.99185,1,0.02691,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,609.769,0.04105,0.99226,1,0.03042,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,624.989,0.04429,0.99206,1,0.03093,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,639.732,0.04875,0.99002,1,0.03334,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,654.446,0.05181,0.99389,1,0.02322,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,669.298,0.04626,0.99084,1,0.02904,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,683.9,0.04654,0.98982,1,0.03748,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,698.817,0.03897,0.99267,0.9998,0.02812,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,713.812,0.04197,0.99226,1,0.02588,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,728.349,0.04169,0.98859,1,0.03488,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,743.731,0.03691,0.99369,1,0.02411,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,758.574,0.04778,0.99124,1,0.02812,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
